HREKG,PRESS,ARTCO2,MINVOL,VENTALV,HRBP,INTUBATION,CVP,LVEDVOLUME,PULMEMBOLUS,EXPCO2,FIO2,INSUFFANESTH,HRSAT,SAO2,DISCONNECT,TPR,CATECHOL,LVFAILURE,ANAPHYLAXIS,PVSAT,STROKEVOLUME,VENTLUNG,MINVOLSET,VENTTUBE,ERRCAUTER,HYPOVOLEMIA,ERRLOWOUTPUT,BP,KINKEDTUBE,PCWP,HR,HISTORY,PAP,VENTMACH,SHUNT,CO
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,HIGH,HIGH,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,NORMAL,NORMAL
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,LOW,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,HIGH,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,TRUE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
